year,event
1910,"The Korean Peninsula was a Japanese colony between 1910 and 1945, when Soviet and American troops invaded and divided it along the 38th parallel ."
1914,1914 saw the completion of the Panama Canal .
1914,"From 1914 to 1918 the First World War, and its aftermath, caused major changes in the power balance of the world, destroying or transforming some of the most powerful empires."
1914,"The First World War (or simply WWI), termed ""The Great War"" by contemporaries, started in July 1914 and ended in November 1918."
1914,"After a period of diplomatic and military escalation known as the July Crisis , by the end of July 1914 two coalitions were at war: the Allies, comprised initially of the British Empire , France , and the Russian Empire ; and the Central Powers , comprised initially of the German Empire and Austria-Hungary ."
1917,In 1917 Russia ended hostile actions against the Central Powers after the fall of the Tsar.
1917,"The Russian Revolution of 1917 (ending in the overthrow of the Tsarist regime and the execution of His Imperial Majesty Nicholas II and his family) sparked a wave of communist revolutions across Europe, prompting many to believe that a socialist world revolution could be realized in the near future."
1918,"From 1914 to 1918 the First World War, and its aftermath, caused major changes in the power balance of the world, destroying or transforming some of the most powerful empires."
1918,"The First World War (or simply WWI), termed ""The Great War"" by contemporaries, started in July 1914 and ended in November 1918."
1918,"Although Germany shifted huge forces from the eastern to the western front after signing the treaty, it was unable to stop the Allied advance, especially with the entrance of American troops in 1918."
1918,"When the war was finally over in 1918, the results would set the stage for the next twenty years."
1918,From 1918 to 1920 a remarkably deadly worldwide pandemic caused by the flu broke out near the end of the war and spread globally.
1920,From 1918 to 1920 a remarkably deadly worldwide pandemic caused by the flu broke out near the end of the war and spread globally.
1922,Fascism first appeared in Italy with the rise to power of Benito Mussolini in 1922.
1924,"However, the European revolutions were defeated, Vladimir Lenin died in 1924, and within a few years, Joseph Stalin displaced Leon Trotsky as the de facto leader of the Soviet Union ."
1929,Communism was strengthened as a force in Western democracies when the global economy crashed in 1929 in what became known as the Great Depression .
1931,"The first event that is usually linked to the later Pacific conflict was the Mukden Incident of 18 September 1931, during which the Japanese military staged the bombing of the South Manchuria Railway and pinned the blame on Chinese dissidents."
1932,"After the League of Nations commissioned the 1932 Lytton Report , which exposed the Mukden Incident as a Japanese ruse, Japan was left internationally isolated, withdrawing from the League of Nations in March 1933."
1933,"When Adolf Hitler came to power in Germany in 1933, a new variant of fascism called Nazism took over Germany and ended the German experiment with democracy."
1933,"After the League of Nations commissioned the 1932 Lytton Report , which exposed the Mukden Incident as a Japanese ruse, Japan was left internationally isolated, withdrawing from the League of Nations in March 1933."
1934,"In 1934 Manchukuo became a constitutional monarchy and the former Chinese Emperor Pu Yi was placed on the throne, despite the real power being held by Japan."
1937,"Japan enjoyed some early major victories, capturing both Shanghai and the Chinese capital of Nanjing in 1937 and forcing the Chinese central government 's relocation to Chongqing ."
1937,"Despite relations between Japan and China suffering because the occupation of Manchuria, the situation did not turn into all-out war until 7 July 1937, when a dispute between Chinese and Japanese soldiers turned into a battle during the Marco Polo Bridge Incident ."
1938,"Hitler began to put his plan in motion, annexing Austria in the Anschluss , or reunification of Austria to Germany, in 1938."
1939,"World War II officially began on 1 September 1939, when Hitler unleashed his Blitzkrieg , or lightning war, against Poland."
1939,"After the defeat of Poland, a period known as the Phony War ensued during the winter of 1939–1940, which saw only limited military land operation on the Western Front ."
1939,"Following Chinese victories in Changsha and Guangxi in 1939, the war reached somewhat of a stalemate, with Japan controlling the large cities, but being unable to rule the vast countryside."
1940,"The British at first suffered steady losses, but eventually managed to turn the air war against Germany, taking down 2,698 German planes throughout the summer of 1940 to only 915 Royal Air Force (RAF) losses."
1940,"On 27 September 1940, Japan became cosignatories of the Tripartite Pact , joining a military alliance with Germany and Italy."
1940,"After the defeat of Poland, a period known as the Phony War ensued during the winter of 1939–1940, which saw only limited military land operation on the Western Front ."
1940,"On 10 May 1940, when the Germans launched a massive attack on the Low Countries (Belgium, the Netherlands, and Luxembourg ), likely to surmount the Maginot Line of defenses on the Franco-German border."
1940,"This changed when Hitler occupied Denmark and Norway, beginning on 9 April 1940."
1941,"On 7 December 1941, Japan launched a surprise attack on the American base at Pearl Harbor as a mean of preventing the U.S."
1941,This action would later cause the Finns to ally with Germany when its attack on the Soviet Union came in 1941.
1941,"Meanwhile, the Japanese had attacked the United States at Pearl Harbor in Hawaii on 7 December 1941."
1941,"Throughout 1941, German forces, divided into 3 army groups (Army Group A, Army Group B, and Army Group C), occupied the territories of the present day Ukraine and Belarus , laid siege to Leningrad (present day Saint Petersburg), and advanced to within 15 miles of Moscow."
1941,"On 22 June 1941, Hitler attacked Stalin with the largest army the world had ever seen ."
1941,He originally planned to launch the attack in early spring of 1941 to avoid the disastrous Russian winter.
1942,"In March 1942, days before the surrender of the Philippines, general Douglas MacArthur, who came out of retirement to become commander of United States Army Forces in the Far East at the onset of the war, was forced to flee and narrowly escape to Australia."
1942,"On 19 February 1942, Japan also launched a devastating aerial attack on the Australian city of Darwin, in what was the first attack by a foreign power on Australian soil."
1942,"In 1942, the top leadership met in Wannsee , a suburb of Berlin, and began to plan a more efficient way to slaughter the Jews."
1942,"The Battle of the Atlantic took place from 1942 to 1944 and was described as ""longest, largest, and most complex naval battle in history""."
1942,"They drove out the Germans in Africa, invading Morocco and Algeria on 8 November 1942."
1942,"From 1942 to 1944, the United States and Britain acted in only a limited manner in the European theater, much to the chagrin of Stalin."
1942,"Throughout the rest of 1942 and 1943, the Soviets began to gain ground against the Germans after some victories like the tank battle of Kursk ."
1942,"After the winter, Hitler launched a fresh offensive in the spring of 1942, with the aim of capturing the oil-rich Caucacus and the city of Stalingrad ."
