letter,country,url
A,Afghanistan,https://simple.wikipedia.org/wiki/Afghanistan
A,Albania,https://simple.wikipedia.org/wiki/Albania
A,Algeria,https://simple.wikipedia.org/wiki/Algeria
A,Andorra,https://simple.wikipedia.org/wiki/Andorra
A,Angola,https://simple.wikipedia.org/wiki/Angola
A,Antigua and Barbuda,https://simple.wikipedia.org/wiki/Antigua_and_Barbuda
A,Argentina,https://simple.wikipedia.org/wiki/Argentina
A,Armenia,https://simple.wikipedia.org/wiki/Armenia
A,Australia,https://simple.wikipedia.org/wiki/Australia
A,Austria,https://simple.wikipedia.org/wiki/Austria
A,Azerbaijan,https://simple.wikipedia.org/wiki/Azerbaijan
B,Bahamas,https://simple.wikipedia.org/wiki/The_Bahamas
B,Bahrain,https://simple.wikipedia.org/wiki/Bahrain
B,Bangladesh,https://simple.wikipedia.org/wiki/Bangladesh
B,Barbados,https://simple.wikipedia.org/wiki/Barbados
B,Belarus,https://simple.wikipedia.org/wiki/Belarus
B,Belgium,https://simple.wikipedia.org/wiki/Belgium
B,Belize,https://simple.wikipedia.org/wiki/Belize
B,Benin,https://simple.wikipedia.org/wiki/Benin
B,Bhutan,https://simple.wikipedia.org/wiki/Bhutan
B,Bolivia,https://simple.wikipedia.org/wiki/Bolivia
B,Bosnia and Herzegovina,https://simple.wikipedia.org/wiki/Bosnia_and_Herzegovina
B,Botswana,https://simple.wikipedia.org/wiki/Botswana
B,Brazil,https://simple.wikipedia.org/wiki/Brazil
B,Brunei,https://simple.wikipedia.org/wiki/Brunei
B,Bulgaria,https://simple.wikipedia.org/wiki/Bulgaria
B,Burkina Faso,https://simple.wikipedia.org/wiki/Burkina_Faso
B,Burundi,https://simple.wikipedia.org/wiki/Burundi
C,Cabo Verde,https://simple.wikipedia.org/wiki/Cape_Verde
C,Cambodia,https://simple.wikipedia.org/wiki/Cambodia
C,Cameroon,https://simple.wikipedia.org/wiki/Cameroon
C,Canada,https://simple.wikipedia.org/wiki/Canada
C,Central African Republic,https://simple.wikipedia.org/wiki/Central_African_Republic
C,Chad,https://simple.wikipedia.org/wiki/Chad
C,Chile,https://simple.wikipedia.org/wiki/Chile
C,China,https://simple.wikipedia.org/wiki/China
C,Colombia,https://simple.wikipedia.org/wiki/Colombia
C,Comoros,https://simple.wikipedia.org/wiki/Comoros
C,Costa Rica,https://simple.wikipedia.org/wiki/Costa_Rica
C,Croatia,https://simple.wikipedia.org/wiki/Croatia
C,Cuba,https://simple.wikipedia.org/wiki/Cuba
C,Cyprus,https://simple.wikipedia.org/wiki/Cyprus
C,Czechia,https://simple.wikipedia.org/wiki/Czech_Republic
C,Côte d'Ivoire,https://simple.wikipedia.org/wiki/Ivory_Coast
D,Democratic Republic of the Congo,https://simple.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
D,Denmark,https://simple.wikipedia.org/wiki/Denmark
D,Djibouti,https://simple.wikipedia.org/wiki/Djibouti
D,Dominica,https://simple.wikipedia.org/wiki/Dominica
D,Dominican Republic,https://simple.wikipedia.org/wiki/Dominican_Republic
E,Ecuador,https://simple.wikipedia.org/wiki/Ecuador
E,Egypt,https://simple.wikipedia.org/wiki/Egypt
E,El Salvador,https://simple.wikipedia.org/wiki/El_Salvador
E,Equatorial Guinea,https://simple.wikipedia.org/wiki/Equatorial_Guinea
E,Eritrea,https://simple.wikipedia.org/wiki/Eritrea
E,Estonia,https://simple.wikipedia.org/wiki/Estonia
